,Artist,Song
0,Jackie Brenston and His Delta Cats,Rocket 88
1,The Crows,Gee
2,Penguins,Earth Angel
3,The Chords,Sh-Boom
4,Lillian Briggs,I Want You to Be My Baby
5,Gene Vincent & His Blue Caps,Be-Bop-a-Lula
6,Dale Hawkins,Susie Q
7,Mickey & Sylvia,Love Is Strange
8,Buddy Knox,Party Doll
9,Thurston Harris,Little Bitty Pretty One
10,The Silhouettes,Get a Job
11,The Teddy Bears,To Know Him is to Love Him
12,Bobby Day,Rockin' Robin
13,The Monotones,The Book of Love
14,Laurie London,He's Got the Whole World in His Hands
15,The Jamies,"Summertime, Summertime"
16,The Kalin Twins,When
17,Link Wray & His Raymen,Rumble
18,Bobby Freeman,Do You Want to Dance
19,The Big Bopper,Chantilly Lace
20,The Poni-Tails,Born Too Late
21,The Danleers,One Summer Night
22,Bobby Hendricks,[51]
23,The Royal Teens,Short Shorts
24,The Elegants,Little Star
25,Frankie Ford,Sea Cruise
26,The Mystics,Hushabye
27,Larry Hall,Sandy
28,Jerry Keller,Here Comes Summer
29,Santo & Johnny,Sleep Walk
30,Dodie Stevens,Pink Shoe Laces
31,The Impalas,Sorry (I Ran All the Way Home)
32,The Skyliners,Since I Don't Have You
33,Jimmy Driftwood,The Battle of New Orleans
34,Phil Phillips,Sea of Love
35,Mark Dinning,"""Teen Angel"""
36,Maurice Williams and the Zodiacs,Stay
37,Bruce Channel,Hey! Baby
38,The Contours,Do You Love Me
39,Bobby Pickett,Monster Mash
40,Joanie Sommers,Johnny Get Angry
41,Bent Fabric,Alley Cat
42,The Cascades,Rhythm of the Rain
43,The Exciters,Tell Him
44,Little Peggy March,I Will Follow Him
45,Doris Troy,Just One Look
46,The Chantays,Pipeline
47,Kyu Sakamoto,Sukiyaki
48,The Singing Nun,Dominique
49,The Surfaris,Wipe Out
50,The Jaynetts,Sally Go 'Round the Roses
51,The Reflections,(Just Like) Romeo and Juliet
52,Cilla Black,You're My World
53,Jewel Akens,The Birds and the Bees
54,Terry Stafford,Suspicion
55,J. Frank Wilson and the Cavaliers,Last Kiss
56,The Standells,Dirty Water
57,Barry McGuire,Eve of Destruction
58,The Gentrys,Keep On Dancing
59,The Castaways,"Liar, Liar"
60,Staff Sergeant Barry Sadler,Ballad of the Green Berets
61,Bob Kuban and the In-Men,The Cheater
62,Blues Magoos,(We Ain't Got) Nothin' Yet
63,The Knickerbockers,Lies
64,The Music Machine,Talk Talk
65,The Capitols,Cool Jerk
66,Los Bravos,Black Is Black
67,Bobby Hebb,Sunny
68,Napoleon XIV,"They're Coming to Take Me Away, Ha-Haaa!"
69,Robert Parker,Barefootin
70,Syndicate of Sound,Little Girl
71,Deon Jackson,Love Makes the World Go 'Round
72,? and the Mysterians,96 Tears
73,New Vaudeville Band,Winchester Cathedral
74,J.J. Jackson,But It's Alright
75,The Casinos,Then You Can Tell Me Goodbye
76,The American Breed,"Bend Me, Shape Me"
77,Robert Knight,Everlasting Love
78,Buffalo Springfield,For What It's Worth
79,Every Mother's Son,Come On Down to My Boat
80,The Brooklyn Bridge,Worst That Could Happen
81,John Fred,Judy in Disguise (With Glasses)
82,The Lemon Pipers,Green Tambourine
83,Iron Butterfly,In-A-Gadda-Da-Vida
84,Human Beinz,Nobody But Me
85,Mason Williams,Classical Gas
86,The Crazy World of Arthur Brown,Fire
87,The Clique,[178]
88,Thunderclap Newman,Something in the Air
89,Steam,Na Na Hey Hey Kiss Him Goodbye
90,Eddie Holman,Hey There Lonely Girl
91,Zager and Evans,In the Year 2525
92,Roy Clark,Yesterday When I Was Young
93,Crazy Elephant,Gimme Gimme Good Lovin'
94,The Youngbloods,Get Together
95,Spiral Starecase,More Today Than Yesterday
96,Shocking Blue,Venus
97,The Ides of March,Vehicle
98,Mountain,Mississippi Queen
99,Frijid Pink,The House of the Rising Sun
100,Norman Greenbaum,Spirit in the Sky
101,Alive N Kickin',"Tighter, Tighter"
102,Bobby Bloom,Montego Bay
103,Five Stairsteps,O-o-h Child
104,Free,All Right Now
105,The Jaggerz,The Rapper
106,Edison Lighthouse,Love Grows (Where My Rosemary Goes)
107,Brewer & Shipley,One Toke Over the Line
108,Mungo Jerry,In the Summertime
109,The Buoys,Timothy
110,Climax,Precious and Few
111,Billy Paul,Me and Mrs. Jones
112,Hurricane Smith,"Oh, Babe, What Would You Say?"
113,Timmy Thomas,Why Can't We Live Together
114,Arlo Guthrie,City of New Orleans
115,Mouth & MacNeal,How Do You Do?
116,Clint Holmes,Playground in My Mind
117,Looking Glass,Brandy (You're a Fine Girl)
118,King Harvest,Dancing in the Moonlight
119,T. Rex,Bang A Gong (Get It On)
120,Dr. John,"Right Place, Wrong Time"
121,Apollo 100,Joy
122,Vicki Lawrence,The Night the Lights Went Out in Georgia
123,Aliotta Haynes Jeremiah,Lake Shore Drive
124,Skylark,Wildflower
125,Lou Reed,Walk on the Wild Side
126,B. W. Stevenson,My Maria
127,Stories,Brother Louie
128,David Essex,Rock On
129,Terry Jacks,Seasons in the Sun
130,George McCrae,Rock Your Baby
131,Reunion,Life Is a Rock (But the Radio Rolled Me)
132,The First Class,Beach Baby
133,Carl Douglas,Kung Fu Fighting
134,Pilot,Magic
135,Billy Swan,I Can Help
136,Jigsaw,Sky High
137,Ace,How Long
138,Nazareth,Love Hurts
139,Van McCoy,The Hustle
140,Pratt & McClain,Happy Days
141,Keith Carradine,I'm Easy
142,Elvin Bishop,Fooled Around and Fell in Love
143,Henry Gross,Shannon
144,Silver,Wham Bam
145,Larry Groce,Junk Food Junkie
146,Cyndi Grecco,Making Our Dreams Come True
147,Rick Dees and His Cast of Idiots,Disco Duck
148,Wild Cherry,Play That Funky Music
149,Starland Vocal Band,Afternoon Delight
150,Cerrone,[31]
151,David Soul,Don't Give Up on Us
152,Ram Jam,Black Betty
153,Dean Friedman,Ariel
154,Alan O'Day,Undercover Angel
155,Debby Boone,You Light Up My Life
156,Meri Wilson,[286]
157,Paul Nicholas,Heaven on the 7th Floor
158,Alicia Bridges,I Love the Nightlife
159,Walter Egan,Magnet and Steel
160,Cheryl Lynn,Got to Be Real
161,Patrick Hernandez,Born to Be Alive
162,Anita Ward,Ring My Bell
163,Sugarhill Gang,Rapper's Delight
164,Amii Stewart,Knock on Wood
165,Sniff 'n' the Tears,Driver's Seat
166,Nick Lowe,Cruel to Be Kind
167,The Knack,My Sharona
168,The Buggles,Video Killed the Radio Star
169,Tom Johnston,[304]
170,Roger Voudouris,Get Used to It
171,Steve Forbert,Romeo's Tune
172,Randy VanWarmer,Just When I Needed You Most
173,M,Pop Muzik
174,The Crusaders,Street Life
175,The Boomtown Rats,I Don't Like Mondays
176,Gary Numan,Cars
177,McFadden & Whitehead,Ain't No Stoppin' Us Now
178,Rocky Burnette,Tired of Toein' the Line
179,Lipps Inc.,Funkytown
180,Utopia,[31]
181,S.O.S. Band,Take Your Time (Do It Right)
182,Robbie Dupree,Steal Away
183,Benny Mardones,Into the Night
184,Rodney Crowell,Ashes by Now
185,Devo,Whip It
186,The Vapors,Turning Japanese
187,Terri Gibbs,Somebody's Knockin'
188,"Grover Washington, Jr.",Just the Two of Us
189,Tommy Tutone,867-5309/Jenny
190,Soft Cell,Tainted Love
191,Bertie Higgins,Key Largo
192,Quarterflash,Harden My Heart
193,Buckner and Garcia,Pac-Man Fever
194,Red Rider,Lunatic Fringe
195,Lee Ritenour,Is It You
196,Tom Tom Club,Genius of Love
197,Joey Scarbury,Theme from The Greatest American Hero (Believe It or Not)
198,Silver Condor,[31]
199,Toni Basil,Mickey
200,Frankie Smith,Double Dutch Bus
201,After the Fire,Der Kommisar
202,Dr. Jeckyll & Mr. Hyde,Genius Rap
203,Diesel,Sausalito Summernight
204,Prism,Don't Let Him Know
205,Marshall Crenshaw,"Someday, Someway"
206,Bob & Doug McKenzie,Take Off
207,Thomas Dolby,She Blinded Me with Science
208,Patrice Rushen,Forget Me Nots
209,Dazz Band,Let It Whip
210,Modern English,I Melt with You
211,Dexys Midnight Runners,Come On Eileen
212,Bow Wow Wow,I Want Candy
